,items,freq
0,"['cases', 'covid']",6380
1,"['new', 'covid']",5312
2,"['coronavirus', 'covid']",4226
3,"['cases', 'new']",3399
4,"['pandemic', 'covid']",2975
5,"['people', 'covid']",2854
6,"['deaths', 'covid']",2674
7,"['cases', 'new', 'covid']",2439
8,"['positive', 'covid']",2179
9,"['us', 'covid']",2010
10,"['health', 'covid']",1689
11,"['deaths', 'cases']",1576
12,"['one', 'covid']",1501
13,"['total', 'covid']",1492
14,"['spread', 'covid']",1464
15,"['help', 'covid']",1451
16,"['due', 'covid']",1417
17,"['reported', 'covid']",1399
18,"['vaccine', 'covid']",1393
19,"['total', 'cases']",1389
20,"['get', 'covid']",1374
21,"['reported', 'cases']",1366
22,"['like', 'covid']",1273
23,"['today', 'covid']",1247
24,"['last', 'covid']",1202
25,"['even', 'covid']",1197
26,"['number', 'covid']",1178
27,"['many', 'covid']",1175
28,"['india', 'covid']",1147
29,"['testing', 'covid']",1134
30,"['realdonaldtrump', 'covid']",1131
31,"['need', 'covid']",1096
32,"['first', 'covid']",1085
33,"['deaths', 'new']",1037
34,"['total', 'new']",1035
35,"['death', 'covid']",1029
36,"['risk', 'covid']",1017
37,"['test', 'covid']",1009
38,"['tested', 'covid']",1004
39,"['24', 'last']",1003
40,"['total', 'cases', 'covid']",999
41,"['world', 'covid']",997
42,"['reported', 'new']",992
43,"['coronavirus', 'new']",991
44,"['reported', 'cases', 'covid']",974
45,"['24', 'cases']",964
46,"['time', 'covid']",956
47,"['day', 'covid']",945
48,"['patients', 'covid']",944
49,"['via', 'covid']",927
50,"['tests', 'covid']",923
51,"['trump', 'covid']",923
52,"['update', 'covid']",920
53,"['still', 'covid']",919
54,"['coronavirus', 'cases']",918
55,"['data', 'covid']",910
56,"['deaths', 'cases', 'covid']",905
