,items,count
0,"['another', 'covid']",13
1,"['days', 'covid']",13
2,"['deaths', 'cases', 'new']",13
3,"['coronavirus', 'new', 'covid']",13
4,"['make', 'covid']",13
5,"['way', 'covid']",13
6,"['last', 'deaths', 'cases']",12
7,"['last', 'cases', 'covid']",12
8,"['new', 'cases', 'covid']",12
9,"['hours', '24', 'deaths']",12
10,"['slow', 'covid']",12
11,"['new', 'cases']",12
12,"['hours', 'deaths']",12
13,"['children', 'covid']",11
14,"['rate', 'covid']",11
15,"['hours', 'covid']",11
16,"['u', 'covid']",11
17,"['million', 'covid']",11
18,"['number', 'total', 'covid']",11
19,"['spread', 'help']",11
20,"['public', 'covid']",10
21,"['spread', 'help', 'covid']",10
22,"['hours', '24', 'last', 'deaths']",10
23,"['24', 'last', 'deaths', 'cases']",10
24,"['government', 'covid']",10
25,"['go', 'covid']",10
26,"['public', 'health']",10
27,"['india', 'cases']",10
28,"['hours', 'last', 'deaths']",10
29,"['reports', 'cases', 'new']",9
30,"['wear', 'mask']",9
31,"['slow', 'spread', 'covid']",9
32,"['great', 'covid']",9
33,"['reports', 'new', 'covid']",9
34,"['10', 'covid']",9
35,"['report', 'covid']",9
36,"['slow', 'spread']",9
37,"['4', 'covid']",8
38,"['total', 'new', 'cases']",8
39,"['spike', 'deaths']",8
40,"['total', 'cases', 'new', 'covid']",8
41,"['reported', 'new', 'cases']",8
42,"['school', 'covid']",8
43,"['risk', 'even']",8
44,"['reported', 'last']",8
45,"['pandemic', 'coronavirus']",8
46,"['county', 'covid']",8
47,"['reports', 'cases', 'covid']",8
48,"['july', 'covid']",8
49,"['reported', 'deaths', 'covid']",8
